prompt_id,report_id,overall_score,accuracy,formality,faithfulness,clarity,succinctness,relevance,evidence_reliability,decision_usability,institutional_communication,unsupported_claim_risk,weak_grounding_risk,risk_penalty,custom_total_score
B,20,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,21,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,22,3.67,4,2,4,4,5,3,4.0,4.0,2,0,0,0,3.6
B,23,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,24,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,25,3.67,4,3,4,4,5,3,4.0,4.0,3,0,0,0,3.8000000000000003
B,26,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,27,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
B,28,3.67,4,2,4,4,5,3,4.0,4.0,2,0,0,0,3.6
B,29,3.83,4,3,4,4,5,4,4.0,4.333333333333333,3,0,0,0,3.9166666666666665
B,30,3.5,3,3,4,3,5,3,3.5,3.6666666666666665,3,1,0,1,3.0583333333333336
C,1,3.5,4,2,4,5,3,3,4.0,3.6666666666666665,2,0,0,0,3.483333333333333
C,2,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,3,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,4,3.5,4,1,4,5,3,3,4.0,3.6666666666666665,1,0,0,0,3.283333333333333
C,5,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,6,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,7,3.5,4,2,4,5,3,3,4.0,3.6666666666666665,2,0,0,0,3.483333333333333
C,8,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,9,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,10,3.5,4,1,4,5,3,3,4.0,3.6666666666666665,1,0,0,0,3.283333333333333
C,11,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,12,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,13,3.5,4,2,4,5,3,3,4.0,3.6666666666666665,2,0,0,0,3.483333333333333
C,14,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,15,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,16,3.5,4,1,4,5,3,3,4.0,3.6666666666666665,1,0,0,0,3.283333333333333
C,17,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,18,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,19,3.5,4,2,4,5,3,3,4.0,3.6666666666666665,2,0,0,0,3.483333333333333
C,20,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,21,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,22,3.5,4,1,4,5,3,3,4.0,3.6666666666666665,1,0,0,0,3.283333333333333
C,23,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,24,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,25,3.5,4,2,4,5,3,3,4.0,3.6666666666666665,2,0,0,0,3.483333333333333
C,26,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,27,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
C,28,3.5,4,1,4,5,3,3,4.0,3.6666666666666665,1,0,0,0,3.283333333333333
C,29,3.67,4,2,4,5,3,4,4.0,4.0,2,0,0,0,3.6
C,30,3.33,3,2,4,4,3,3,3.5,3.3333333333333335,2,1,0,1,2.7416666666666667
